task_id,task,family,price
AO-01,Premium Clinical Skincare Brand,Photo & Image,~$60 est.
AO-02,Performance-ready Meta ad product creatives,Photo & Image,~$60 est.
AO-03,E-commerce white-background product retouch suite + vectoriz,Photo & Image,~$55 est.
AO-04,Silver Jewelry iPhone Shots to White-Background E-commerce S,Photo & Image,~$50 est.
AO-06,White-Background Catalog Cleanup for a Firearms/Optics/Outdo,Photo & Image,~$60 est.
AO-07,Men's pendant line,Photo & Image,~$65 est.
AO-08,Signature Bracelet Launch,Photo & Image,~$60 est.
AO-10,Modern Silver Rosary Necklace,Photo & Image,~$55 est.
AO-11,Sterling-Silver Ruby Pendant,Photo & Image,~$65 est.
AO-12,Bright-and-Airy Lightroom Grade for a 38-Shot Food Photograp,Photo & Image,~$60 est.
AO-13,Taco Tuesday & Lunch-Special Meta Ad Photo-Asset Prep,Photo & Image,~$60 est.
AO-14,Brickyard retro one-page menu,Photo & Image,~$70 est.
AO-15,Umaya Tri-Fold Menu Refresh,Photo & Image,~$60 est.
AO-17,Dark-Mode Restaurant Website Hero Food Photography Pack,Photo & Image,~$65 est.
AO-18,Premium Dark-Mode Restaurant Food-Photography Asset Suite (H,Photo & Image,~$70 est.
AO-20,Premium corporate-website photo retouch,Photo & Image,~$65 est.
AO-21,Creative Business Headshot,Photo & Image,~$60 est.
AO-22,Production-finish a modern vibrant abstract logo,Vector & Print,~$50 est.
AO-23,"Teaser, Thumbnail and End-Card Content Package for a Luxury",Photo & Image,~$55 est.
AO-24,Open House Finance Flyer,Photo & Image,~$65 est.
AO-25,"Premium, consistent HDR grade for a Caribbean vacation-renta",Photo & Image,~$65 est.
AO-26,High-Volume Real Estate Listing Retouch,Photo & Image,~$60 est.
AO-27,Streetline-style real-estate interior edit,Photo & Image,~$55 est.
AO-29,Continental 2026 Cup Stars Poster,Photo & Image,~$65 est.
AO-30,Daily Promo Spot,Photo & Image,~$65 est.
AO-31,Daily-vlog brand kit,Photo & Image,~$55 est.
AO-32,Modern House Listing Photography,Photo & Image,~$75 est.
AO-34,Informative explainer video,Photo & Image,~$70 est.
AO-35,Restore a 1910 magician-troupe postcard,Photo & Image,~$55 est.
AO-37,"Restore Three Faded, Scratched Family Photo Scans for A4 Wal",Photo & Image,~$65 est.
AO-38,Logo + Four Challenge-Coin Marks,Photo & Image,~$65 est.
AO-39,"Apparel Shirt Isolation, Background Cleanup and Marketplace-",Photo & Image,~$60 est.
AO-41,Batch-clean and productize the Maple Ridge Home Services log,Photo & Image,~$50 est.
AO-42,OVERDRIVE merch-brand logo finishing,Photo & Image,~$65 est.
AO-45,Logo Vectorization + Brand Identity Kit,Vector & Print,~$65 est.
AO-46,"Recreate a Sports Jersey Font (A–Z, 0–9) as Clean Vector SVG",Vector & Print,~$65 est.
AO-47,Redraw Swimming-Pool Photos into Clean Web-Ready Vector Grap,Vector & Print,~$85 est.
AO-48,"Convert an AI-Generated Logo into a Clean, Multi-Platform Ve",Vector & Print,~$65 est.
AO-49,Evergreen Cannabis Apparel Capsule,Vector & Print,~$75 est.
AO-51,Vanguard Athletic Logo,Vector & Print,~$70 est.
AO-52,20th-Anniversary folk-art poster screen-print separation pac,Vector & Print,~$65 est.
AO-54,LaneLoom,Video & Motion,~$60 est.
AO-55,Multi-Channel Meal-Prep Ad Package,Video & Motion,~$70 est.
AO-56,Comedy Gameplay YouTube Edit,Video & Motion,~$55 est.
AO-57,Phonk-Energy 9:16 Reel/TikTok Edit Package,Video & Motion,~$80 est.
AO-58,Repeatable Adobe pipeline turning one raw exercise clip into,Video & Motion,~$50 est.
AO-60,Packaging-Portfolio Sizzle Reel,Video & Motion,~$55 est.
AO-61,Fun YouTube Podcast,Video & Motion,~$60 est.
AO-62,Variable-Data Event Promo Catalog + Price-Tag Merge (Overset,Layout & Data,~$55 est.
AO-63,Maple Cricket League,Layout & Data,~$55 est.
AO-64,Premium skincare packaging,Layout & Data,~$60 est.
AO-67,Tamil Traditional Service-Promotion Large-Format Banner Set,Layout & Data,~$75 est.
AO-68,Roadside Coaching-Institute Banner,Layout & Data,~$65 est.
AO-69,TitanSeal Sealants Launch,Layout & Data,~$65 est.
AO-72,Modern Store Graphics Package,Photo & Image,~$65 est.
AO-74,Crumb & Co. wholesale bakery catalog,Layout & Data,~$110 est.
AO-75,Northgate Dental Congress 2027,Layout & Data,$30
AO-76,Northlantic Insurance auto-insurance rate card,Layout & Data,~$50 est.
AO-77,Willowfen Press KDP picture-book preflight,Layout & Data,$200
AO-78,Hearthstone Brew Co. café menu,Layout & Data,$45/hr
AO-79,Marlow & Vane property flyer batch,Layout & Data,$100
AO-80,Lanternwood Folk Fest 2026 program booklet,Layout & Data,~$70 est.
AO-81,Nimbadesk SaaS product sell sheets,Layout & Data,~$65 est.
AO-82,Lumen Quarterly magazine issue,Layout & Data,~$40 est.
AO-83,Halden Sleep mattress catalog pre-merge audit,Layout & Data,~$45 est.
AO-84,Verdafix industrial sealant labels,Layout & Data,~$60 est.
AO-85,Ironclad parts catalog pre-press audit,Layout & Data,~$45 est.
AO-86,Amberleaf Tea Studio,Vector & Print,~$70 est.
AO-87,Little Lighthouse charity tee,Vector & Print,$5–$17/hr
AO-88,Ridgeline Rovers FC crest,Vector & Print,~$75 est.
AO-89,LUMIÈRE MÉNAGE monochrome beauty brand mark,Vector & Print,$25
AO-90,Apexguard Auto Film,Vector & Print,$500
AO-91,Maison Valcere jewelry house,Vector & Print,~$50 est.
AO-92,Wandergrain Supply screen-print pre-flight,Vector & Print,$15–$35/hr
AO-93,Torqex Industrial nameplate logo pack,Vector & Print,~$50 est.
AO-94,Vitalé wellness Reel: clean a captured talking-head into pla,Video & Motion,~$50 est.
AO-95,Voltcast tech-channel delivery QC,Video & Motion,~$45 est.
AO-96,SentinelMesh AI cybersecurity SaaS product video,Video & Motion,$900
AO-97,Pulsevault club-night recap,Video & Motion,~$80 est.
AO-98,Velvet Hour Sessions live-set footage review,Video & Motion,$25
AO-99,Lunara Silver Reel repurpose pack,Video & Motion,~$70 est.
AO-104,Northwind Advisory corporate headshots,Photo & Image,~$105 est.
AO-105,Nocturne Sessions duotone gig poster,Photo & Image,$25
AO-106,Nordheim Atelier FW26 editorial poster series,Photo & Image,$500
AO-107,Deli & Dough Uber Eats hero banner,Photo & Image,$20–$40/hr
AO-109,Kantyna Nova website photo grade,Photo & Image,~$95 est.
AO-110,Summit & Sable eCommerce catalog,Photo & Image,$8–$45/hr
AO-111,"Restore a Faded, Scratched Family Keepsake Photo to a Framed",Photo & Image,~$55 est.
AO-112,SlabVault graded-card Shopify batch,Photo & Image,$5–$50/hr
AO-113,Loomhearth flat-lay apparel,Photo & Image,~$115 est.
AO-114,"Lumora ""Dewdrop"" lip-oil color-variant set",Photo & Image,~$65 est.
AO-115,Rukmini Silverworks 925 jewelry catalog,Photo & Image,~$115 est.
AO-116,Umbra Loft noir concert-series poster art,Photo & Image,~$90 est.
AO-117,Marisol Cove boutique-hotel homepage hero,Photo & Image,$15
AO-118,Fizzwild kombucha website hero + banner set,Photo & Image,~$75 est.
AO-119,Harbor Crest Realty website visual refresh,Photo & Image,~$65 est.
AO-120,NOURA daily-greens DTC paid-social video ad package,Video & Motion,~$75 est.
AO-121,Sable & Finch Realty listing tour,Video & Motion,~$90 est.
AO-122,Ember & Oak wood-fired restaurant sizzle reel,Video & Motion,$10–$20/hr
AO-123,Meridian Academy online-course explainer edit,Video & Motion,~$80 est.
