param,value,unit,note
trim_width,24,in,final trim width (portrait one-sheet)
trim_height,36,in,final trim height
resolution,300,dpi,print resolution at final size
trim_px_width,7200,px,24in x 300dpi
trim_px_height,10800,px,36in x 300dpi
bleed,0.125,in,bleed on every edge
bleed_px,37.5,px,0.125in x 300dpi per edge
full_bleed_px,7275 x 10875,px,trim plus bleed both edges (the generative-expand target)
safe_margin,0.25,in,keep title + billing block inside this safe area
color_mode,CMYK,profile,U.S. Web Coated (SWOP) v2 for the print PDF
web_jpg_size,1200 x 1800,px,"flattened sRGB web JPG (2:3, downscaled from the master)"
file_outputs,InDesign PDF + web JPG,format,print-ready 24x36 300dpi PDF and a flattened web JPG
