filename,sku,product_title,target_px,max_file_weight_kb,format,backdrop_hex,frame_class
hamper-01-classic-wicker-front.jpg,WV-HMP-001,The Classic Willow Hamper,2048x2048,480,JPG,#E8E8E8,catalogue
hamper-02-countryside-picnic-overhead.jpg,WV-HMP-002,The Countryside Picnic Hamper,2048x2048,480,JPG,#E8E8E8,catalogue
hamper-03-garden-party-spread-detail.jpg,WV-HMP-003,The Garden Party Hamper,2048x2048,480,JPG,#E8E8E8,catalogue
hamper-04-gourmet-foodie-open.jpg,WV-HMP-004,The Gourmet Foodie Hamper,2048x2048,480,JPG,#E8E8E8,catalogue
hamper-05-seasonal-harvest-closed.jpg,WV-HMP-005,The Seasonal Harvest Hamper,2048x2048,480,JPG,#E8E8E8,catalogue
hamper-06-celebration-champagne-detail.jpg,WV-HMP-006,The Celebration Hamper,2048x2048,480,JPG,#E8E8E8,catalogue
hamper-07-artisan-cheeseboard-side.jpg,WV-HMP-007,The Artisan Cheeseboard Hamper,2048x2048,480,JPG,#E8E8E8,catalogue
hamper-08-breakfast-in-bed-arrangement.jpg,WV-HMP-008,The Breakfast Delight Hamper,2048x2048,480,JPG,#E8E8E8,catalogue
hamper-09-lifestyle-kitchen.jpg,WV-HMP-009,The Kitchen Companion Hamper,2048x2048,480,JPG,#E8E8E8,lifestyle
hamper-10-lifestyle-doorstep.jpg,WV-HMP-010,The Welcome Home Hamper,2048x2048,480,JPG,#E8E8E8,lifestyle
hamper-11-lifestyle-table-spread.jpg,WV-HMP-011,The Festive Table Hamper,2048x2048,480,JPG,#E8E8E8,lifestyle
hamper-12-lifestyle-hands-carry.jpg,WV-HMP-012,The Thoughtful Gift Hamper,2048x2048,480,JPG,#E8E8E8,lifestyle
hamper-13-luxe-leather-corner.jpg,WV-HMP-013,The Luxe Leather Hamper,2048x2048,480,JPG,#E8E8E8,catalogue
