city,venue,date,doors_time,ticket_url,support_act
London,The Subterranean Vault,SAT 05 SEP 2026,DOORS 22:00,https://tix.nightshift-music.live/london,w/ DJ Lumina
Berlin,Echo Chamber,FRI 18 SEP 2026,DOORS 22:30,https://tix.nightshift-music.live/berlin,w/ Sonic Bloom
Amsterdam,Canal House Groove,SAT 03 OCT 2026,DOORS 21:30,https://tix.nightshift-music.live/amsterdam,w/ Echo Drift
Paris,Le Caveau Sonore,FRI 16 OCT 2026,DOORS 23:00,https://tix.nightshift-music.live/paris,w/ Groove Architect
Manchester,Industrial Pulse,SAT 31 OCT 2026,DOORS 22:00,https://tix.nightshift-music.live/manchester,w/ Rhythm Weaver
Glasgow,Clyde Sound Hub,FRI 13 NOV 2026,DOORS 22:30,https://tix.nightshift-music.live/glasgow,w/ Catalyst Sound
Dublin,Emerald Beat Loft,SAT 28 NOV 2026,DOORS 21:30,https://tix.nightshift-music.live/dublin,w/ Haze Pulse
Brussels,Atomium Abyss,FRI 11 DEC 2026,DOORS 23:00,https://tix.nightshift-music.live/brussels,w/ Nocturne Soul
Copenhagen,Nordic Bassment,SAT 19 DEC 2026,DOORS 22:00,https://tix.nightshift-music.live/copenhagen,w/ Vibe Curator
Rome,Ancient Rhythms Cellar,FRI 08 JAN 2027,DOORS 22:30,https://tix.nightshift-music.live/rome,w/ Deep Freq
Lisbon,Alfama Frequencies,SAT 23 JAN 2027,DOORS 21:30,https://tix.nightshift-music.live/lisbon,w/ Horizon Theory
Budapest,Danube Deep House,FRI 12 FEB 2027,DOORS 23:00,https://tix.nightshift-music.live/budapest,w/ Lunar Flow
